timestamp,gyro_x,gyro_y,gyro_z
5.691,3.466,2.244,0.702
5.707,3.061,2.573,0.496
5.723,3.748,2.496,0.580
5.740,3.382,2.397,0.458
5.756,3.527,2.618,0.450
5.772,3.344,2.427,0.366
5.788,3.359,2.748,0.664
5.805,3.481,2.344,0.649
5.821,3.427,2.443,0.511
5.837,3.550,2.313,0.595
5.853,3.321,2.595,0.702
5.869,3.519,2.702,0.588
5.885,3.473,2.641,0.588
5.902,3.206,2.389,0.443
5.918,3.290,2.275,0.321
5.934,3.527,2.382,0.611
5.950,3.305,2.687,0.496
5.967,3.519,2.397,0.405
5.983,3.359,2.481,0.076
5.999,3.313,2.565,0.504
6.015,3.519,2.565,0.504
6.031,3.595,2.496,0.771
6.048,3.366,2.618,0.397
6.064,3.359,2.405,0.489
6.080,3.061,2.641,0.466
6.096,3.382,2.611,0.374
6.112,3.122,2.405,0.267
6.129,3.405,2.412,0.595
6.145,3.405,2.260,0.481
6.161,3.427,2.550,0.565
6.177,3.023,2.344,0.374
6.193,3.313,2.366,0.489
6.210,3.382,2.473,0.588
6.226,3.290,2.305,0.328
6.242,3.305,2.641,0.664
6.258,3.130,2.298,0.656
6.274,3.298,2.374,0.710
6.290,3.344,2.496,0.634
6.307,3.504,2.618,0.496
6.323,3.504,2.573,0.565
6.339,3.153,2.420,0.580
6.355,3.107,2.344,0.603
6.371,3.344,2.595,0.557
6.388,3.450,2.473,0.534
6.404,3.420,2.427,0.397
6.420,3.374,2.458,0.527
6.436,3.305,2.618,0.618
6.452,3.351,2.534,0.580
6.469,3.153,2.275,0.511
6.485,3.244,2.405,0.802
6.501,3.382,2.290,0.458
6.517,3.420,2.611,0.359
6.534,3.168,2.573,0.435
6.550,3.267,2.443,0.511
6.566,3.351,2.618,0.550
6.582,3.504,2.260,0.618
6.599,3.244,2.336,0.511
6.615,3.229,2.420,0.450
6.631,3.496,2.473,0.427
6.647,3.420,2.550,0.580
6.663,3.267,2.588,0.412
6.680,3.565,2.641,0.611
6.696,3.443,2.420,0.748
6.712,3.489,2.695,0.588
6.728,3.221,2.382,0.359
6.745,3.206,2.672,0.672
6.761,3.313,2.603,0.588
6.777,3.534,2.527,0.382
6.793,3.511,2.473,0.626
6.809,3.672,2.695,0.573
6.825,3.481,2.679,0.282
6.841,3.511,2.481,0.542
6.858,3.542,2.351,0.679
6.874,3.244,2.542,0.427
6.890,3.191,2.565,0.626
6.906,3.290,2.489,0.855
6.922,3.366,2.458,0.443
6.939,3.351,2.519,0.634
6.955,3.412,2.893,0.489
6.971,3.382,2.412,0.519
6.987,3.298,2.366,0.656
7.004,3.634,2.550,0.458
7.020,3.321,2.580,0.336
7.036,3.466,2.725,0.924
7.052,3.489,2.389,0.282
7.068,3.466,2.443,0.519
7.085,3.282,2.557,0.809
7.101,3.328,2.519,0.466
7.117,3.282,2.504,0.328
7.133,3.405,2.458,0.588
7.150,3.519,2.412,0.573
7.166,3.389,2.282,0.542
7.182,3.756,2.328,0.718
7.198,3.756,2.504,0.794
7.215,3.214,2.519,0.382
7.231,3.321,2.550,0.328
7.247,3.183,2.527,0.672
7.263,3.160,2.458,0.550
7.280,3.359,2.466,0.809
7.296,3.412,2.641,0.824
7.312,3.115,2.542,0.481
7.328,3.412,2.435,0.366
7.344,3.458,2.435,0.626
7.361,3.443,2.244,0.382
7.377,3.221,2.458,0.565
7.393,3.115,2.634,0.611
7.409,3.267,2.511,0.679
7.425,3.427,2.672,0.626
7.441,3.420,2.794,0.725
7.458,3.672,2.511,0.565
7.474,3.542,2.573,0.420
7.490,3.305,2.405,0.710
7.507,3.328,2.603,0.427
7.523,3.481,2.550,0.802
7.539,3.420,2.664,0.710
7.555,3.397,2.450,0.664
7.571,3.183,2.382,0.397
7.588,3.450,2.374,0.580
7.604,3.504,2.366,0.550
7.620,3.198,2.626,0.679
7.636,3.489,2.481,0.618
